Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	63.81949979	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P61316	Outer-membrane lipoprotein carrier protein OS=Escherichia coli (strain K12) GN=lolA PE=1 SV=1	lolA	22.46515845	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A722	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1	lpxA	28.04439864	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P10441	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2	lpxB	42.33717116	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37773	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=mpl PE=1 SV=3	mpl	49.82411217	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	37.77288165	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A927	Nucleoside-specific channel-forming protein tsx OS=Escherichia coli (strain K12) GN=tsx PE=1 SV=1	tsx	33.54987653	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37751	Uncharacterized protein yefI OS=Escherichia coli (strain K12) GN=yefI PE=4 SV=1	wbbK	43.14263685	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P45395	Arabinose 5-phosphate isomerase OS=Escherichia coli (strain K12) GN=kdsD PE=1 SV=1	kdsD	35.15507892	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P75830	Macrolide-specific efflux protein macA OS=Escherichia coli (strain K12) GN=macA PE=1 SV=2	macA	40.58094339	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P76506	Probable phospholipid-binding lipoprotein mlaA OS=Escherichia coli (strain K12) GN=mlaA PE=1 SV=1	mlaA	28.00573403	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P33362	Putative osmoprotectant uptake system substrate-binding protein osmF OS=Escherichia coli (strain K12) GN=osmF PE=2 SV=1	osmF	32.57110535	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P24173	Lipopolysaccharide heptosyltransferase 1 OS=Escherichia coli (strain K12) GN=rfaC PE=1 SV=1	rfaC	35.5036634	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P27830	dTDP-glucose 4,6-dehydratase 2 OS=Escherichia coli (strain K12) GN=rffG PE=1 SV=3	rffG	39.71089535	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A6U5	Ribosomal RNA small subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rsmG PE=1 SV=1	rsmG	23.39835848	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AG00	Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2	wzzE	39.44594306	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P15038	Helicase IV OS=Escherichia coli (strain K12) GN=helD PE=1 SV=2	helD	77.90949086	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0ACF0	DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1	hupA	9.51117791	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P12295	Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2	ung	25.65918035	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P32664	NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2	nudC	29.65180095	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P20083	DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3	parE	70.18174399	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P04994	Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2	xseA	51.7822337	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0ACP5	HTH-type transcriptional regulator gntR OS=Escherichia coli (strain K12) GN=gntR PE=1 SV=1	gntR	36.38082496	K	Transcription	INFORMATION STORAGE AND PROCESSING
P77569	Mhp operon transcriptional activator OS=Escherichia coli (strain K12) GN=mhpR PE=4 SV=2	mhpR	31.28444117	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AFX4	Regulator of sigma D OS=Escherichia coli (strain K12) GN=rsd PE=1 SV=1	rsd	18.21343979	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACN4	HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1	allR	29.2332666	K	Transcription	INFORMATION STORAGE AND PROCESSING
P24242	HTH-type transcriptional regulator AscG OS=Escherichia coli (strain K12) GN=ascG PE=1 SV=3	ascG	36.90304607	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8R9	HTH-type transcriptional regulator hdfR OS=Escherichia coli (strain K12) GN=hdfR PE=3 SV=1	hdfR	31.70840875	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AGB6	RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1	rpoE	21.66426101	K	Transcription	INFORMATION STORAGE AND PROCESSING
P23917	Fructokinase OS=Escherichia coli (strain K12) GN=mak PE=1 SV=2	mak	32.46133074	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P0A6K3	Peptide deformylase OS=Escherichia coli (strain K12) GN=def PE=1 SV=2	def	19.2982689	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8T1	Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1	prmA	31.83889513	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7F9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1	queA	39.38802367	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ADY7	50S ribosomal protein L16 OS=Escherichia coli (strain K12) GN=rplP PE=1 SV=1	rplP	15.25344869	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0C018	50S ribosomal protein L18 OS=Escherichia coli (strain K12) GN=rplR PE=1 SV=1	rplR	12.74392073	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AG48	50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1	rplU	11.53918454	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7R9	30S ribosomal protein S11 OS=Escherichia coli (strain K12) GN=rpsK PE=1 SV=2	rpsK	13.81836297	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7S3	30S ribosomal protein S12 OS=Escherichia coli (strain K12) GN=rpsL PE=1 SV=2	rpsL	13.71049079	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7T3	30S ribosomal protein S16 OS=Escherichia coli (strain K12) GN=rpsP PE=1 SV=1	rpsP	9.16693958	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	9.66030985	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P39199	Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3	prmB	34.96146662	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AD49	Ribosome-associated inhibitor A OS=Escherichia coli (strain K12) GN=raiA PE=1 SV=2	raiA	12.75861652	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	30.38261031	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P25397	Tellurite resistance protein TehB OS=Escherichia coli (strain K12) GN=tehB PE=1 SV=1	tehB	22.4984033	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P45748	tRNA threonylcarbamoyladenosine biosynthesis protein RimN OS=Escherichia coli (strain K12) GN=rimN PE=1 SV=2	tsaC	20.73668585	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P62615	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Escherichia coli (strain K12) GN=ispE PE=1 SV=1	ispE	30.88782837	I	Lipid transport and metabolism	METABOLISM
P62617	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase OS=Escherichia coli (strain K12) GN=ispF PE=1 SV=1	ispF	16.86882668	I	Lipid transport and metabolism	METABOLISM
P13000	Dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=bioD PE=1 SV=3	bioD	24.1063701	H	Coenzyme transport and metabolism	METABOLISM
P12998	8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) GN=bioF PE=1 SV=1	bioF	41.55025394	H	Coenzyme transport and metabolism	METABOLISM
P0ABQ4	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	folA	17.96989353	H	Coenzyme transport and metabolism	METABOLISM
P0AC19	D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2	folX	14.05538764	H	Coenzyme transport and metabolism	METABOLISM
P32131	Oxygen-independent coproporphyrinogen-III oxidase OS=Escherichia coli (strain K12) GN=hemN PE=1 SV=4	hemN	52.67767322	H	Coenzyme transport and metabolism	METABOLISM
P10902	L-aspartate oxidase OS=Escherichia coli (strain K12) GN=nadB PE=1 SV=4	nadB	60.28135972	H	Coenzyme transport and metabolism	METABOLISM
P06611	Vitamin B12 import ATP-binding protein BtuD OS=Escherichia coli (strain K12) GN=btuD PE=1 SV=1	btuD	27.04614549	H	Coenzyme transport and metabolism	METABOLISM
P30749	Molybdopterin synthase catalytic subunit OS=Escherichia coli (strain K12) GN=moaE PE=1 SV=3	moaE	16.95251163	H	Coenzyme transport and metabolism	METABOLISM
P0C0U4	Ribosomal protein S6 modification protein OS=Escherichia coli (strain K12) GN=rimK PE=3 SV=1	rimK	32.39803235	HJ	Coenzyme transport and metabolism	METABOLISM
P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	alsB	32.87113079	G	Carbohydrate transport and metabolism	METABOLISM
P04982	D-ribose pyranase OS=Escherichia coli (strain K12) GN=rbsD PE=1 SV=3	rbsD	15.26479589	G	Carbohydrate transport and metabolism	METABOLISM
P0AG07	Ribulose-phosphate 3-epimerase OS=Escherichia coli (strain K12) GN=rpe PE=1 SV=1	rpe	24.52063986	G	Carbohydrate transport and metabolism	METABOLISM
P37643	Inner membrane metabolite transport protein yhjE OS=Escherichia coli (strain K12) GN=yhjE PE=1 SV=1	yhjE	47.15943524	G	Carbohydrate transport and metabolism	METABOLISM
P77269	ABC transporter periplasmic-binding protein yphF OS=Escherichia coli (strain K12) GN=yphF PE=1 SV=1	yphF	35.01823833	G	Carbohydrate transport and metabolism	METABOLISM
P28903	Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2	nrdD	79.95412102	F	Nucleotide transport and metabolism	METABOLISM
P0AFF2	Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1	nupC	43.42929651	F	Nucleotide transport and metabolism	METABOLISM
P0AG18	N5-carboxyaminoimidazole ribonucleotide mutase OS=Escherichia coli (strain K12) GN=purE PE=1 SV=2	purE	17.75120248	F	Nucleotide transport and metabolism	METABOLISM
P39452	Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3	nrdE	80.41027706	F	Nucleotide transport and metabolism	METABOLISM
P0ACE7	HIT-like protein hinT OS=Escherichia coli (strain K12) GN=hinT PE=1 SV=1	hinT	13.21488763	FGR	Nucleotide transport and metabolism	METABOLISM
P68398	tRNA-specific adenosine deaminase OS=Escherichia coli (strain K12) GN=tadA PE=1 SV=2	tadA	18.68739382	FJ	Nucleotide transport and metabolism	METABOLISM
P0A9Z1	Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) GN=glnB PE=1 SV=1	glnB	12.3995981	E	Amino acid transport and metabolism	METABOLISM
P0AC81	Lactoylglutathione lyase OS=Escherichia coli (strain K12) GN=gloA PE=1 SV=1	gloA	14.89251473	E	Amino acid transport and metabolism	METABOLISM
P06989	Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) GN=hisI PE=3 SV=3	hisI	22.72348932	E	Amino acid transport and metabolism	METABOLISM
P07109	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2	hisP	28.61707416	E	Amino acid transport and metabolism	METABOLISM
P0AFM2	Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1	proX	35.98190441	E	Amino acid transport and metabolism	METABOLISM
Q5H772	Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1	puuE	44.68275437	E	Amino acid transport and metabolism	METABOLISM
P77316	Uncharacterized zinc-type alcohol dehydrogenase-like protein YbdR OS=Escherichia coli (strain K12) GN=ybdR PE=3 SV=1	ybdR	44.12968183	ER	Amino acid transport and metabolism	METABOLISM
P22524	Chromosome partition protein mukE OS=Escherichia coli (strain K12) GN=mukE PE=1 SV=5	mukE	26.9395778	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P69506	Iron-sulfur cluster repair protein YtfE OS=Escherichia coli (strain K12) GN=ytfE PE=1 SV=1	ytfE	24.84855698	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A830	Aerobic C4-dicarboxylate transport protein OS=Escherichia coli (strain K12) GN=dctA PE=1 SV=1	dctA	45.3887442	C	Energy production and conversion	METABOLISM
P28861	Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4	fpr	27.71530712	C	Energy production and conversion	METABOLISM
P0AEX5	Probable phosphoribulokinase OS=Escherichia coli (strain K12) GN=prkB PE=3 SV=1	prkB	32.30549054	C	Energy production and conversion	METABOLISM
P0ACY1	Putative NAD(P)H nitroreductase ydjA OS=Escherichia coli (strain K12) GN=ydjA PE=1 SV=1	ydjA	20.02812237	C	Energy production and conversion	METABOLISM
P0ACB4	Protoporphyrinogen IX dehydrogenase [menaquinone] OS=Escherichia coli (strain K12) GN=hemG PE=1 SV=1	hemG	21.19486359	CH	Energy production and conversion	METABOLISM
P20099	Biotin sulfoxide reductase OS=Escherichia coli (strain K12) GN=bisC PE=3 SV=3	bisC	85.77827471	C	Energy production and conversion	METABOLISM
P18775	Anaerobic dimethyl sulfoxide reductase chain A OS=Escherichia coli (strain K12) GN=dmsA PE=1 SV=2	dmsA	90.32309785	C	Energy production and conversion	METABOLISM
P0AC47	Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2	frdB	27.08716048	C	Energy production and conversion	METABOLISM
P0ADK6	Protein yibA OS=Escherichia coli (strain K12) GN=yibA PE=1 SV=1	yibA	31.83555097	C	Energy production and conversion	METABOLISM
P26649	Glycogen synthesis protein glgS OS=Escherichia coli (strain K12) GN=glgS PE=1 SV=1	glgS	7.86860495	-		
P0ACE3	Hemolysin expression-modulating protein OS=Escherichia coli (strain K12) GN=hha PE=1 SV=1	hha	8.60445853	-		
P76002	Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1	pliG	14.87871052	-		
P69411	Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1	rcsF	14.13620807	-		
P75791	Uncharacterized protein ybiU OS=Escherichia coli (strain K12) GN=ybiU PE=1 SV=1	ybiU	47.28155224	-		
P64455	Uncharacterized protein ydcY OS=Escherichia coli (strain K12) GN=ydcY PE=4 SV=1	ydcY	8.77645239	-		
P0AD10	Uncharacterized protein yecJ OS=Escherichia coli (strain K12) GN=yecJ PE=4 SV=1	yecJ	9.09877479	-		
P0ADS9	Uncharacterized protein yggN OS=Escherichia coli (strain K12) GN=yggN PE=4 SV=1	yggN	26.39456679	-		
P0ADK8	Uncharacterized protein yibL OS=Escherichia coli (strain K12) GN=yibL PE=1 SV=1	yibL	13.66927463	-		
P45800	Putative membrane protein igaA homolog OS=Escherichia coli (strain K12) GN=yrfF PE=1 SV=1	yrfF	79.42184741	-		
P0CB39	Phosphoethanolamine transferase CptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1	eptC	66.54984405	-		
P27829	UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4	wecC	45.79159224	-		
P0AAH4	Peptide transport system ATP-binding protein SapD OS=Escherichia coli (strain K12) GN=sapD PE=3 SV=1	sapD	37.61844779	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P0ABU9	Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	tolQ	25.56337328	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AE82	Sensor protein CpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1	cpxA	51.57393701	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0A9E5	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	fnr	27.93133827	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AA89	Diguanylate cyclase DosC OS=Escherichia coli (strain K12) GN=dosC PE=1 SV=1	dosC	53.12663208	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0ACZ4	Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1	evgA	22.65779834	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AED5	Response regulator uvrY OS=Escherichia coli (strain K12) GN=uvrY PE=1 SV=1	uvrY	23.85935674	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P39176	Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2	erfK	34.3716386	S	Function unknown	POORLY CHARACTERIZED
P0AAC8	Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1	iscA	11.53068237	S	Function unknown	POORLY CHARACTERIZED
P0AAA1	Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1	yagU	22.93393416	S	Function unknown	POORLY CHARACTERIZED
P77717	Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1	ybaY	19.40125324	S	Function unknown	POORLY CHARACTERIZED
P0AAS7	Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1	ybcJ	7.36685319	S	Function unknown	POORLY CHARACTERIZED
P0A8J4	UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1	ybeD	9.80311355	S	Function unknown	POORLY CHARACTERIZED
P0AB55	Protein yciI OS=Escherichia coli (strain K12) GN=yciI PE=1 SV=1	yciI	10.57740472	S	Function unknown	POORLY CHARACTERIZED
P76243	Uncharacterized protein yeaO OS=Escherichia coli (strain K12) GN=yeaO PE=1 SV=2	yeaO	13.35993617	S	Function unknown	POORLY CHARACTERIZED
P52007	Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3	yecM	21.17377695	S	Function unknown	POORLY CHARACTERIZED
P33355	Uncharacterized protein yehS OS=Escherichia coli (strain K12) GN=yehS PE=4 SV=1	yehS	17.94351142	S	Function unknown	POORLY CHARACTERIZED
P21515	Acyl carrier protein phosphodiesterase OS=Escherichia coli (strain K12) GN=acpH PE=3 SV=2	acpH	22.92839888	S	Function unknown	POORLY CHARACTERIZED
P37794	UPF0249 protein ChbG OS=Escherichia coli (strain K12) GN=chbG PE=2 SV=2	chbG	27.73811735	S	Function unknown	POORLY CHARACTERIZED
P68206	UPF0337 protein yjbJ OS=Escherichia coli (strain K12) GN=yjbJ PE=1 SV=1	yjbJ	8.30208165	S	Function unknown	POORLY CHARACTERIZED
P0AF50	Uncharacterized protein yjbR OS=Escherichia coli (strain K12) GN=yjbR PE=1 SV=1	yjbR	13.49297324	S	Function unknown	POORLY CHARACTERIZED
P64581	Uncharacterized protein yqjD OS=Escherichia coli (strain K12) GN=yqjD PE=4 SV=1	yqjD	11.02685535	S	Function unknown	POORLY CHARACTERIZED
P76035	Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2	yciW	42.17550636	S	Function unknown	POORLY CHARACTERIZED
P64559	UPF0350 protein ygfY OS=Escherichia coli (strain K12) GN=ygfY PE=1 SV=1	ygfY	10.52217255	S	Function unknown	POORLY CHARACTERIZED
